"date";"morningTwilight";"sunrise";"sunset";"eveningTwilight"
"20130101";"08:09";"08:50";"16:38";"17:19"
"20130102";"08:09";"08:50";"16:39";"17:20"
"20130103";"08:09";"08:49";"16:40";"17:21"
"20130104";"08:08";"08:49";"16:41";"17:22"
"20130105";"08:08";"08:49";"16:43";"17:23"
"20130106";"08:08";"08:48";"16:44";"17:24"
"20130107";"08:07";"08:48";"16:45";"17:26"
"20130108";"08:07";"08:47";"16:47";"17:27"
"20130109";"08:07";"08:47";"16:48";"17:28"
"20130110";"08:06";"08:46";"16:50";"17:30"
"20130111";"08:05";"08:45";"16:51";"17:31"
"20130112";"08:05";"08:44";"16:53";"17:32"
"20130113";"08:04";"08:44";"16:54";"17:34"
"20130114";"08:03";"08:43";"16:56";"17:35"
"20130115";"08:03";"08:42";"16:57";"17:37"
"20130116";"08:02";"08:41";"16:59";"17:38"
"20130117";"08:01";"08:40";"17:01";"17:40"
"20130118";"08:00";"08:39";"17:02";"17:41"
"20130119";"07:59";"08:38";"17:04";"17:43"
"20130120";"07:58";"08:37";"17:06";"17:44"
"20130121";"07:57";"08:35";"17:07";"17:46"
"20130122";"07:56";"08:34";"17:09";"17:47"
"20130123";"07:55";"08:33";"17:11";"17:49"
"20130124";"07:54";"08:32";"17:13";"17:51"
"20130125";"07:52";"08:30";"17:15";"17:52"
"20130126";"07:51";"08:29";"17:16";"17:54"
"20130127";"07:50";"08:27";"17:18";"17:56"
"20130128";"07:49";"08:26";"17:20";"17:57"
"20130129";"07:47";"08:24";"17:22";"17:59"
"20130130";"07:46";"08:23";"17:24";"18:01"
"20130131";"07:44";"08:21";"17:26";"18:03"
"20130201";"07:43";"08:20";"17:28";"18:04"
"20130202";"07:41";"08:18";"17:29";"18:06"
"20130203";"07:40";"08:16";"17:31";"18:08"
"20130204";"07:38";"08:15";"17:33";"18:10"
"20130205";"07:37";"08:13";"17:35";"18:11"
"20130206";"07:35";"08:11";"17:37";"18:13"
"20130207";"07:33";"08:09";"17:39";"18:15"
"20130208";"07:32";"08:08";"17:41";"18:17"
"20130209";"07:30";"08:06";"17:43";"18:18"
"20130210";"07:28";"08:04";"17:44";"18:20"
"20130211";"07:26";"08:02";"17:46";"18:22"
"20130212";"07:25";"08:00";"17:48";"18:24"
"20130213";"07:23";"07:58";"17:50";"18:25"
"20130214";"07:21";"07:56";"17:52";"18:27"
"20130215";"07:19";"07:54";"17:54";"18:29"
"20130216";"07:17";"07:52";"17:56";"18:31"
"20130217";"07:15";"07:50";"17:58";"18:33"
"20130218";"07:13";"07:48";"18:00";"18:34"
"20130219";"07:11";"07:46";"18:01";"18:36"
"20130220";"07:09";"07:44";"18:03";"18:38"
"20130221";"07:07";"07:42";"18:05";"18:40"
"20130222";"07:05";"07:40";"18:07";"18:42"
"20130223";"07:03";"07:37";"18:09";"18:43"
"20130224";"07:01";"07:35";"18:11";"18:45"
"20130225";"06:59";"07:33";"18:13";"18:47"
"20130226";"06:57";"07:31";"18:14";"18:49"
"20130227";"06:55";"07:29";"18:16";"18:50"
"20130228";"06:52";"07:27";"18:18";"18:52"
"20130301";"06:50";"07:24";"18:20";"18:54"
"20130302";"06:48";"07:22";"18:22";"18:56"
"20130303";"06:46";"07:20";"18:24";"18:58"
